ProcessName,Processpath,Module,Hash,Signature
conhost,C:\windows\system32\conhost.exe,C:\windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.14393.2608_none_7ddacc7e8347078e\comctl32.DLL,54A6FA59D56F48C0DBEDFFA7B526222BB422C3BD6F300300734DB42941C79472,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\advapi32.dll,C88EB32E0E06D9DAAB48A123212FE341B303613B4D9AB2F330B96357C722BD58,NULL
lsass,C:\windows\system32\lsass.exe,c:\windows\system32\AUTHZ.dll,8FD060B0F29A1FB23C3D1F389C22EC067247F1E457F331D2B15AE44323ECB8D0,NULL
lsass,C:\windows\system32\lsass.exe,c:\windows\system32\bcrypt.dll,24CDED04F5493C55A675B1165459CA2994A6A09A33EBAF7C34442791CF96CEDC,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\bcryptPrimitives.dll,676475F2363D5134E1E6FD936657B6F753830E142392D2D3A37467E6800281BA,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\combase.dll,447FEA906B582FB639DEB5FB8890E0FDDB27E913C5AEB67E34BE26085A5D7540,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\CRYPT32.dll,022D1134898C5CADC702D88FB864832EC8F2F1809B1A2E5567E1338E8483387D,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\CRYPTBASE.dll,63A0E1A76B7ABCF56E44B548568649FFB6B5609402746D48A4DC77CCED20F5FE,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\cryptdll.dll,456AC2654BA09276489C006E21D48FF6D5EA7B991B83E5872F27962CA37BC7E6,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\cryptsp.dll,DD7EBCFB0645D7D10164EB7D78B2D15E20ED2DB34A2A74C654DEF786E4902498,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\DNSAPI.dll,E982390627FCF51BF42DEEA5FF36C36505E2CC3E4E7C34D99504DF0C5592D76C,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\DPAPI.dll,D399633CC99D754DD999BB4FFADD768FEA82F57A0241809117AD786DC33DD30E,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\dpapisrv.dll,E75544E1EC85C0DA5984CDE314BE95E528C544B75FB476FE344388F5ECC1D3C6,NULL
lsass,C:\windows\system32\lsass.exe,c:\windows\system32\DSPARSE.dll,0CA602484CD0E2C67091FCD60091608BF746B1D05B353DB9805D1CAE0ED09D70,NULL
lsass,C:\windows\system32\lsass.exe,c:\windows\system32\DSROLE.dll,62B8900EFDF4B30E54E11232A8DA95DBF066DAEFD364A66EB99ADC028A3798F7,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\dssenh.dll,EEEB71D41EA7C0DD4B59610965BBF2F14FABB25E52CBC1AB410ABAE4E403B160,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\efslsaext.dll,5143DDF90469B81C6F36A41195FEC7B1DAB49B5A4748649C342A96713F0D3265,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\gmsaclient.dll,4DC2A799E54028BF96CB27DA5427AB0E1ABAEE1FF1F3F266A03144918615F966,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\gpapi.dll,211BF523128C9A337BCC9B8F984FF552915C7A8560E5E00F76F5AC17339C6459,NULL
lsass,C:\windows\system32\lsass.exe,c:\windows\system32\IPHLPAPI.DLL,AF2440640BF8BDEAAF0DECDD7C354158E415ED0AA340ABA7A6CCCDC09C1E728B,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\JoinUtil.dll,771DCD3A35F3238BD6B79C76A5C5897EE91B69C39513CCD90E78D2D98904EE88,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\KerbClientShared.dll,335650ADB1DE1C48BE84BF6590764D3B19578DB8F2D3290ACA675BF12EBF0997,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\kerberos.DLL,526840AF6B656005CD1743DEE077387130AD0FA4916D06302715E6C6EA6858D0,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\KERNEL32.DLL,1E33D241F5B247E9B8FBA73967EDDDADA0B197E9577334BBC5548EA9D802E3D8,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\KERNELBASE.dll,B912E8D775359012DAF561051D21CCF838B54BD3519F71E6BCD6CB7C5AB8C848,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\keyiso.dll,1B27696BCA7AA9C699E690E9CFDCC2918F2A67BA85B52816DE4991237E50ABCD,NULL
lsass,C:\windows\system32\lsass.exe,c:\windows\system32\logoncli.dll,4B5C66866D1B940475E15809A123A0E045942E9DA68AFB8BC47B33D120123AFD,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\lsasrv.dll,406DA982772156F44BB4E2C80E0A18D7ECCEFB4606D4FD71C60B06AB16B13B5E,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\lsass.exe,D957A03C6EA35CBF0C90B0B088DF07E7803A1A3EEB4BA889038F88DB066BBDC4,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\MPR.dll,48B8B9D2D9129B6A3AF6FA49A2BF1475C2B98563EF3492B4F46A5212A8438326,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\MSASN1.dll,2BFE4014E06552A9D4201EF9D1C605694AAF2B7B811265EFD91FC6D1C2D48242,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\mskeyprotect.dll,BCC6EDFA8210852017C6A2DB6C80939157F1EB32FA847A05C6E85850D4FCA46D,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\msprivs.DLL,D6ACE699F5E8747DFD39C2FCC6779443708074F65292DCBCC772FEE7144E136C,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\msv1_0.DLL,30E34ABC05ADF4ABACD578256EDB59CD3954CF4F0B9261C842B64FCF41949D40,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\msvcp_win.dll,959A084ED6B3897591981AD3606FC04DB7ECDDF479AECA3EC5A3368663FFFD1B,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\msvcrt.dll,C693DA0EF4DCF3BC244661B9FD280FE12C3053FDD7B977712C0CF210831B2EF4,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\mswsock.dll,C4764716D257C1E038F34DC6F2AAAB1381C872BE7C896F79352354DF9A23E407,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\ncrypt.dll,4AF58ED374B3EC417DE2D580C594481E7778DA8D414689E5AA2F3BCDAC09FCEA,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\NCRYPTPROV.DLL,95D67873A10185D71BDF4C0125797224F9E6382B7EAF1026AA50D940B63951B9,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\ncryptsslp.dll,E7F1EBEB6A966CF3DFB7C8875E8664F09802A0922FD5D9DEC8A3EBBF9D17F947,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\negoexts.DLL,BA233EBE145F677D949CEE17A4281CE2B7062CA12B9F008EBF1C10EFE1AC943E,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\netlogon.DLL,ABE3068883C366E8CE9EF16E788518430CF633C43C60F2EA7F066DE7D7A44191,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\netprovfw.dll,84AE7D8E390252EAB0E6C4A992645AD37C87558E1CDC1B7E69304DFCA222F7D5,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\netutils.dll,A931C54C47B454407990241DB12BD209AC219C55F026ADDED427A9E84A409923,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\NSI.dll,86BA1A56A2F557D9159226840786E27F4E311A22B91C00A76E416F43306C5D19,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\NTASN1.dll,E0A8F5055CD9E2AF029B8537E09EFFAF1F46C724CB720A6395DCF563EF70B843,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\ntdll.dll,768B03B5FFD542E935D0F0F50809349147392FCA81D836A57F875DDB84875C3C,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\NtlmShared.dll,8014AF1EAE25F7C091010BE58A7AA170BCE922D851FBB8D5997498FF9105EF1B,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\pku2u.DLL,82259C7B2B0D58AFC5EEA8F8F73EF7E11BF7D000FC27FF6130E24E62FAAA5CAB,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\powrprof.dll,76EB0FCA87C3AD5FA1C46EB0AF88CF85E172525029E33F5DFC5645EF2EE6F575,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\profapi.dll,C40F6AA73073995E05E5379AE593A6617E8296C79A78BD7F716D95F98AE0D899,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\RPCRT4.dll,D193474F16FEEE6291F6B55BFE5CACED0EA8CD0D1BF3805EC4313601FB9D30F8,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\rsaenh.dll,743DF043F78CA7DF9A64FEA3E1B6D8EFFAC47699D8DBB25B61E31B9518167B14,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\samlib.dll,DF5361F2432AA15BBBAA5B7F50D0995F398C7219860174E4207C4082D47402CE,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\samsrv.dll,446CF7DC4B8D31A085993CAAAAD94568FFA833B462178A86E9B5A73BC4B11F5F,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\scecli.DLL,5EA8667FF7A61E9E3765CDA1F22AD3322AA4567EC82A1F663D840CCEC1590374,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\schannel.DLL,285245AE5523DED555C2A97C85611295D216A19DB76A5C7C0268E01A6DD03585,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\sechost.dll,17EA4904C5CA0E05066DBEDE2B16E16F9A3FC1993AC50D1C3DF8BD75E7A8C7F0,NULL
lsass,C:\windows\system32\lsass.exe,C:\Windows\System32\SecureTimeAggregator.dll,013A30810DFDB696A459268A04DE20A3F1A6DD45C39C64A5ED653A3FD8A67B26,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\sspicli.dll,60558CA374334D4C6BBAD475921538C14A9FF3422893348A0503C1F33015FD25,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\SspiSrv.dll,F195983CDF8256F1D1425CC7683F9BF5C624928339DDB4E3DA96FDAE2657813D,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\tspkg.DLL,B06E66C07215AE328B90D2914F354A615BDA1C4C8F2979A13CC36840729B5ED5,NULL
