Process,Processpath,DLL,DllHash,Signature
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\user32.dll,DA784E3F5B59C3CADDCCBB61CD1C206B5747223E4E02FD73BC0E8D0AA0268906,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\system32\uxtheme.dll,A635109301F1013287C203CFC50484C87AC8E446C8924F1FB3D21B2080F57BD5,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\win32u.dll,208FBE0136AEBC989748B526A4BB0C656B73A10E46EF640A93E3AB8F02358B98,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\System32\windows.storage.dll,AC56B7287E8D29ECE175F671AE0B4BFD2B444CD59BDA8499A063A2E3F6997247,NULL
conhost,C:\windows\system32\conhost.exe,C:\windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.17763.195_none_05b436ac07203599\comctl32.DLL,41094424258FC2874A13B352D1706991EB3B9C071C6BF4F5A80D9384C1C98982,NULL
fontdrvhost,C:\windows\system32\fontdrvhost.exe,C:\windows\system32\fontdrvhost.exe,2F12419A7D9D7F2F02688C76063DC081CE08DC79574C485717B38F65DE199781,NULL
fontdrvhost,C:\windows\system32\fontdrvhost.exe,C:\windows\System32\GDI32.dll,9E349F813AF29D06EAB70B2D5C547762A101E0C6924C4FE69D52E596E0EE44F7,NULL
fontdrvhost,C:\windows\system32\fontdrvhost.exe,C:\windows\System32\gdi32full.dll,B547E08FD901CAD611C12DB4DF8E1C5E49A6D52942E71B83897D17D2AA438481,NULL
fontdrvhost,C:\windows\system32\fontdrvhost.exe,C:\windows\System32\IMM32.DLL,78973633CEAC4EFC9273534ABA95C45FCC2120FDC76DAE23A6A44D169EEDEAEA,NULL
fontdrvhost,C:\windows\system32\fontdrvhost.exe,C:\windows\System32\KERNEL32.DLL,A4E40C348031047B966C18F2761EE0460A226905721D2F29327528CB2B213CB1,NULL
