Process,Processpath,DLL,DllHash,Signature
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\MSASN1.dll,DC1C77C7DEC3271B9AA2F136E0262E49770B586458F89CFDBA48D3DC4B5425C0,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\MSCTF.dll,8F8CA854C5F45E5F829125B6F39C3D03BDB55D9FB0896B526FB89E7D3513C9C1,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\msvcp_win.dll,E8D763341FF4395CD5E3B503490F53B3349A122148C01ED5AA1450528AD4931E,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\msvcrt.dll,23008F528D0039B3590E54246A9A332F66EF691E207B1221F8C2F0B19F9B85ED,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\SYSTEM32\ntdll.dll,5B58F50147A78AB76127030D8AD745AC2EC1BDE2487BF379430A6E8A79A20CC2,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\SYSTEM32\ntmarta.dll,5866CCE48652967B7251B2D4E0569650429ECCDAE19582D7E61008BA8F84C87F,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\OLEAUT32.dll,16F22C87393DBEAFABA7F7C5239EC12AF9E4FA99DDFCE8B2A8240C598AB4249E,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\Windows\System32\OneCoreUAPCommonProxyStub.dll,7F2D7EF2856D0EE8E71E0684D1DE2938DF309B1B44FA83CB99472DE5271B4508,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\powrprof.dll,F9C97CFFAB7D3A61175F902CF0062CA945BC8CECFC825BF3B6096864855D43D9,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\profapi.dll,14B733E344394B1C5753AF0E58026B50BCFB19868F9380197442FDABA4BC974E,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\PROPSYS.dll,99A6911C87DF3A942F46D6CB1E156DBE7958F1C42B3A99CA3A592E8FEA4F0A77,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\Windows\System32\RMCLIENT.dll,C0B024DFB029D655FD4EC505316FEB0CACA305219616A8EF76E67650916D148C,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\SYSTEM32\rometadata.dll,8B85ABC3A828FDD1C78F35F83EDB7FFDF67D8B2D1672095061DBADAF3E01E17B,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\RPCRT4.dll,74656439887E9D377BA5F1FBC8E0D71795B5A59EC190DE014F83D5C3D20CF308,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\sechost.dll,1690C0AF6E6AA9925AC75DA610053AEB50F060A872A702F8F97AF3B5B79CFA7B,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\shcore.dll,462083FAF17D701F8F337B73F09A60A8CB0643AED8B050873B45B73BCA4D7486,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\SHELL32.dll,9D2ACDBFCCF2B70C4E69114D73D33189037A298FEF80F2ADF841601649CAE6F7,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\shlwapi.dll,F9BA12ACCE850AFFC6C9F1EC81568A57DE50C0B7317B4C4C3955A0CA8F707B25,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\system32\TextInputFramework.dll,64D420814A27DA8DDC453127A4B0914EBACDF357561EFFDF0395BB8A7005EE98,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\Windows\System32\twinapi.appcore.dll,577FEA98A9CFA486C581A632B01F2817B74FB8A34762767BB9F2C32BAE396FCB,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\Windows\System32\twinapi.dll,9A3EC7322697B4896E1FA685E1000C3A6CFAEE287931DF699CDE790E7F3D9D0E,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\ucrtbase.dll,E2267734B6FF4A08D6C619B9E9D173B9ACD46681602D88979A4866A4CA63DD46,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\SYSTEM32\uiautomationcore.dll,CC5A2877559A3439EBE961E493E9383237556CD6D793251E81ED4452FC87C62F,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\user32.dll,DA784E3F5B59C3CADDCCBB61CD1C206B5747223E4E02FD73BC0E8D0AA0268906,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\system32\uxtheme.dll,A635109301F1013287C203CFC50484C87AC8E446C8924F1FB3D21B2080F57BD5,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\win32u.dll,208FBE0136AEBC989748B526A4BB0C656B73A10E46EF640A93E3AB8F02358B98,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\Windows\System32\Windows.StateRepositoryPS.dll,D769186D5D1C3B33941D809E1F55346C106F1606B9C4ACA04062EBA02651BCF2,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\System32\windows.storage.dll,AC56B7287E8D29ECE175F671AE0B4BFD2B444CD59BDA8499A063A2E3F6997247,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\Windows\System32\Windows.UI.dll,D8975D50614DFA772CBA7D8525B471C05B94D333A33D3D900FB8457D6676A020,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\system32\WindowsCodecs.dll,F22CF0C94462CF43B5598885625E6F3EAE8DE33E735E07AF10853F5CE410F7DB,NULL
ApplicationFrameHost,C:\windows\system32\ApplicationFrameHost.exe,C:\windows\SYSTEM32\wintypes.dll,AAE0D838848764E810862A2F038FB4737685AE9510D9BABB9C97052B955CA501,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\advapi32.dll,FAE7F170429952777D45641E68F4E0B8E5CE31A38159179CB17B2CB84D8E63F0,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\apphelp.dll,BE2E0F1E100764D4B88688640E96862E7B01013274A58F6F50DC64704CC46DF8,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\bcrypt.dll,4682B99FD63617241BDE436554C5B9D2BA0247BE4ED958EF05785D1A12E50E01,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\bcryptPrimitives.dll,045679986C4ECB5D3148B3303076EDF2FEC47F52C775F9F077106830426DC6D0,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\system32\browser_broker.exe,4DDD49D967ABD232AD0F873F5CC520BB67B4F67A4A124E1DD871E87BDE81A5C9,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\browserbroker.dll,446BCC863E9912749197F786485B2A2557E4ACE85FBCC787052A42222CC73739,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\cfgmgr32.dll,DF1C3927C42A1C7B8B5EA009783BB3FCB1FF48FC8542A1EF5D18ECAF78AD5D3E,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\chakra.dll,0E83631E8A8104C07E15AE48A1BF6BE6BCFAE70A8F97F92EF4191F19CED48A27,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\clbcatq.dll,C5D4F3DFA14DEABD6A845E6F0B04C39A9A539C1A4D6C71B25943EB9BF9C9A3F5,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\CLDAPI.dll,3D8DE4C70D14D79143A9E3CF5E37A3F95D2EE2E9D3DFC360C6110E62DD026116,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\combase.dll,8BADF8E4E018394A9003BE5428A7420A534E7265CC6F545AF1EF2AFB532ED4E4,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\coml2.dll,F3E3BDF50B9E54A1449BE0DA21600C371082804A5EEB937A6BC8D97A1F73781F,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\CRYPT32.dll,12AE93F2B5CB784E9DCA1958AB75900A7A879EDCEE7F33959BCF1772ECD4F718,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\CRYPTBASE.dll,F53C04CF0EE4943D4EA82D94604CB46816BEB53545D3357C718D2A46516B1BDB,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\Windows\System32\cryptnet.dll,BF428B2B5C2686A5B631DC055BFDD11AF605FA9C0202D2E941DA10307B6301FA,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\cryptsp.dll,78D6A1CD068F5DE2A3DE7F83A975667FA332AA65EC59DD5991CEA1D021BD47C5,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\system32\cscapi.dll,96096A8894EE7B2161432B027612AA5B79965189A88B333C57F0E65CF30297F2,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\dhcpcsvc.DLL,BEF6C1A0766CA5B2D63FB211E73CACEA780386124BBC488C524983DCE2FDE0F4,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\dhcpcsvc6.DLL,3200C858C4A5187902279C81DE464261CA84D3499C25F5DBBDD416C649E2B423,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\DNSAPI.dll,96D581035FF077D1B44BCBBC7F0671579501ADB6637646483BB980E57C07FA51,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\DPAPI.DLL,0D1488B2FF471C1EF2F8F2742D685A8778B2C1512A044BDF2606C3ED92E0B512,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\dwmapi.dll,4643CD13ACE4583FFC5F6E77B28DED3786B89763E14AFCE7662389DB473B0A61,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\edgehtml.dll,9E77AE07A68326ADCE5184AD75A02421D0AC0CE0BC27C5CAF480B231D6F1297E,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\Windows\System32\edgeIso.dll,E2309CFDC5C49218BEF9BDDA30104DD0271B595031F5D6E343CEF344A1B84AB2,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\edputil.dll,97C629DF065740429333C5A8A05E7ECD99B5DB6E10B22FE642F2B36A51B3B369,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\FLTLIB.DLL,5AF9EC3A4F8724083EDB3F020807C36A45BE2A0EBF0CF6A40417F46086467F3C,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\fwpuclnt.dll,D8FEAC3D578AF0E34556A88E90E6891D70408EE8885756760D4A91C8572A487D,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\GDI32.dll,9E349F813AF29D06EAB70B2D5C547762A101E0C6924C4FE69D52E596E0EE44F7,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\gdi32full.dll,B547E08FD901CAD611C12DB4DF8E1C5E49A6D52942E71B83897D17D2AA438481,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\icuin.dll,A30C8BEF457B966AC1A767163FE1F7C4F89CB40727A819E5633E3290752FEFC9,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\Windows\System32\icuuc.dll,39B210CC0EC16A04C21764E4E10CF01410F7258A77A61C55BF2C661731D9CAEE,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\Windows\System32\ieproxy.dll,54E46714099B4AD86E781315092917694ABB8F53025B013AEAACC3B2591CE107,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\iertutil.dll,36848FE29A48BE37B432E735565EEBBEDF54E100611ED2FA1C71855AB3F11DB9,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\IMM32.DLL,78973633CEAC4EFC9273534ABA95C45FCC2120FDC76DAE23A6A44D169EEDEAEA,NULL
browser_broker,C:\windows\system32\browser_broker.exe,c:\windows\system32\IPHLPAPI.DLL,0ECEB84EDC1DD0D456048CFAE5970DCF0B3083CEC2462AB6BD60632F151E298F,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\kernel.appcore.dll,CA954AC516F91F28301378214335FF808D0E9331018A6474DFAA25D18D0FD6A8,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\KERNEL32.DLL,A4E40C348031047B966C18F2761EE0460A226905721D2F29327528CB2B213CB1,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\KERNELBASE.dll,E91161625A4EAEDD062532C55486F1336C60267EBD50043A209843C4D1902EF8,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\LINKINFO.dll,4644C63730F28DADB7E848021C6739CB22DEEC377F519B9EB97ED6B1CF0E7E3A,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\MSASN1.dll,DC1C77C7DEC3271B9AA2F136E0262E49770B586458F89CFDBA48D3DC4B5425C0,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\mskeyprotect.dll,BFB9E796C4311FDCE52317F98F1D7DC8DD23AC8C2C62F65D86EFF60CC82CB738,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\msvcp_win.dll,E8D763341FF4395CD5E3B503490F53B3349A122148C01ED5AA1450528AD4931E,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\Windows\System32\msvcp110_win.dll,C0C42626E8541697875A54D0B8224F2F82F3F7E5F23D2DBADBEF2D0ABC99000E,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\msvcrt.dll,23008F528D0039B3590E54246A9A332F66EF691E207B1221F8C2F0B19F9B85ED,NULL
browser_broker,C:\windows\system32\browser_broker.exe,c:\windows\system32\MSWSOCK.dll,32B249CB9D7A76AC9AB0D9254256268353E128FC429AD09543217F58E0C2AC84,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\ncrypt.dll,78CAA858F31D6514BEF3AF9B2FA374F6FB1F0650B7DD381148447A834BD88ED2,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\system32\ncryptsslp.dll,B0A46CE25DDC4F4374EC59D310397A03737CACD3C8416E766DFBF935CDED1FD3,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\NSI.dll,28176CB9C7E4436BDD29C5CAACB82EF981AEA4DC5780B46A272FD12A96720B97,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\system32\NTASN1.dll,ADF2CAD7E6705B318034390898F74CFC73EAB40652019CA698843A4EEF7BE95C,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\ntdll.dll,5B58F50147A78AB76127030D8AD745AC2EC1BDE2487BF379430A6E8A79A20CC2,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\ntmarta.dll,5866CCE48652967B7251B2D4E0569650429ECCDAE19582D7E61008BA8F84C87F,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\ntshrui.dll,E5A003EFB14120D908052F64FDAD3B0701BE5F4CC3212D0F7D632CAC287852EB,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\ole32.dll,BEAD3AC7A1903269DB4D0C06FD5C62396BF5724D3F12BD266C24E732F643FBBD,NULL
